Part numbe          ;Supplier            ;Supplier N          
7622964AA         ;432544;SATYS ELECTRIC FRANCE              
7622965AA         ;432544;SATYS ELECTRIC FRANCE              
7622966AB         ;432544;SATYS ELECTRIC FRANCE              
7622967AA         ;432544;SATYS ELECTRIC FRANCE              
7622968AA         ;432544;SATYS ELECTRIC FRANCE              
7622969AA         ;432544;SATYS ELECTRIC FRANCE              
7622970AB         ;432520;SIRAIL SAS                         
;432544;SATYS ELECTRIC FRANCE              
7622971AB         ;432520;SIRAIL SAS                         
;432544;SATYS ELECTRIC FRANCE              
7622972AB         ;432520;SIRAIL SAS                         
;432544;SATYS ELECTRIC FRANCE              
7622974AB         ;432520;SIRAIL SAS                         
;432544;SATYS ELECTRIC FRANCE              
7622975AA         ;432544;SATYS ELECTRIC FRANCE              
7622976AA         ;432544;SATYS ELECTRIC FRANCE              
7622977AA         ;432544;SATYS ELECTRIC FRANCE              
7622978AA         ;432544;SATYS ELECTRIC FRANCE              
7622979AA         ;432544;SATYS ELECTRIC FRANCE              
7622980AA         ;432544;SATYS ELECTRIC FRANCE              
7622981AA         ;432520;SIRAIL SAS                         
7623061AA         ;434248;GALATEE SAS                        
7623062AA         ;434248;GALATEE SAS                        
7623063AA         ;434248;GALATEE SAS                        
7623065AA         ;434248;GALATEE SAS                        
7623073AA         ;434248;GALATEE SAS                        
7623082AA         ;434248;GALATEE SAS                        
7623083AA         ;434248;GALATEE SAS                        
7623084AA         ;434248;GALATEE SAS                        
7670042AA         ;433645;XD THERMAL TECHNOLOGY CO., LTD     
7680012AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680126AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680129AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680148AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680154AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680156AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680157AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680158AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680159AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680160AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680171AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680175AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680176AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680177AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680181AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680182AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680188AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680189AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680191AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680192AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680288AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680290AC         ;SGT       ;Plastic Omnium e.Power GmbH        
7680307AB         ;SGT       ;Plastic Omnium e.Power GmbH        
7680431AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680495AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680543AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680582AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680587AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680595AA         ;SGT       ;Plastic Omnium e.Power GmbH        
7680598AA         ;430197;CALB GROUP CO., LTD.               
7680599AA         ;430976;ASPEN AEROGELS, INC.               
7680600AB         ;433699;SUZHOU WEST DEANE NEW POWER        
7680600AC         ;433699;SUZHOU WEST DEANE NEW POWER        
7680601AA         ;430907;STELIAU TECHNOLOGY                 
;433699;SUZHOU WEST DEANE NEW POWER        
7680602AA         ;430907;STELIAU TECHNOLOGY                 
;433699;SUZHOU WEST DEANE NEW POWER        
7680604AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680605AA         ;433699;SUZHOU WEST DEANE NEW POWER        
7680606AA         ;433699;SUZHOU WEST DEANE NEW POWER        
